RegionID,FileName,LoopDepth,IterationSpace,BasicBlocks,IntArithmetic,FloatArithmetic,IntMultiply,FloatMultiply,IntDivision,FloatDivision,SpecialFunctions,FMAOperations,Loads,Stores,BytesRead,BytesWritten,StrideClass,IndirectAccesses,ReductionVars,FunctionCalls,ArraysAccessed,BranchCount,SelectCountSerialTime,OpenMP3Time,OpenMP45ResidentTime,OpenMP45ObservedTime,OpenMP45IsolatedTime,OpenACCResidentTime,OpenACCObservedTime,OpenACCIsolatedTime,SerialTime
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_170.c,1,170,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_170.c,1,170,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_171.c,1,171,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_171.c,1,171,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_172.c,1,172,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_172.c,1,172,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_173.c,1,173,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_173.c,1,173,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_174.c,1,174,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_174.c,1,174,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
