RegionID,FileName,LoopDepth,IterationSpace,BasicBlocks,IntArithmetic,FloatArithmetic,IntMultiply,FloatMultiply,IntDivision,FloatDivision,BitwiseCount,IntModulus,FloatModulus,SpecialFunctions,FMAOperations,Loads,Stores,BytesRead,BytesWritten,StrideClass,IndirectAccesses,ReductionVars,FunctionCalls,ArraysAccessed,BranchCount,SelectCount,SerialTime,OpenMP3Time,OpenMP45ResidentTime,OpenMP45ObservedTime,OpenMP45IsolatedTime,OpenACCResidentTime,OpenACCObservedTime,OpenACCIsolatedTime
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_98.c,1,98,3,2,0,2,0,0,0,0,2,0,0,0,0,2,0,8,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_98.c,1,98,8,1,0,0,0,3,0,0,0,0,0,0,2,1,8,4,1,0,0,0,3,2,0,,,,,,,,
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_98.c,1,98,10,0,0,0,0,0,0,0,0,0,0,0,1,4,4,16,1,0,0,0,2,3,0,,,,,,,,
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_98.c,1,98,3,1,0,1,0,1,0,0,0,0,0,0,2,1,8,4,1,0,0,0,3,0,0,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_99.c,1,99,3,2,0,2,0,0,0,0,2,0,0,0,0,2,0,8,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_99.c,1,99,8,1,0,0,0,3,0,0,0,0,0,0,2,1,8,4,1,0,0,0,3,2,0,,,,,,,,
2,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_99.c,1,99,10,0,0,0,0,0,0,0,0,0,0,0,1,4,4,16,1,0,0,0,2,3,0,,,,,,,,
3,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_99.c,1,99,3,1,0,1,0,1,0,0,0,0,0,0,2,1,8,4,1,0,0,0,3,0,0,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_100.c,1,100,3,2,0,2,0,0,0,0,2,0,0,0,0,2,0,8,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_dataset_work_idUj3D/feature_variants/vectorNormalization_serial_N_100.c,1,100,8,1,0,0,0,3,0,0,0,0,0,0,2,1,8,4,1,0,0,0,3,2,0,,,,,,,,
